City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,lasa,46.6166,10.7002,-3.5,93,87,3.3,IT,"01/20/2023,23:59:11"
108,baghdad,33.3406,44.4009,7.95,100,0,0.0,IQ,"01/20/2023,23:57:26"
109,foki,56.693,54.3499,-15.02,88,97,2.36,RU,"01/20/2023,23:59:11"
110,la palma,33.8464,-118.0467,18.14,53,1,1.79,US,"01/20/2023,23:59:12"
111,chokurdakh,70.6333,147.9167,-34.93,99,99,3.31,RU,"01/20/2023,23:59:13"
112,puerto ayora,-0.7393,-90.3518,24.75,94,73,1.34,EC,"01/20/2023,23:51:34"
113,quatre cocos,-20.2078,57.7625,24.06,87,100,1.87,MU,"01/20/2023,23:59:14"
114,onega,63.9061,38.1404,-8.44,99,100,1.42,RU,"01/20/2023,23:59:14"
115,southbridge,42.0751,-72.0334,2.42,98,100,0.89,US,"01/20/2023,23:59:15"
116,burgersdorp,-30.9977,26.3286,22.3,46,65,2.15,ZA,"01/20/2023,23:59:15"
117,sao jose da coroa grande,-8.8978,-35.1478,25.17,79,82,3.32,BR,"01/20/2023,23:59:16"
118,tuktoyaktuk,69.4541,-133.0374,-25.0,84,100,1.03,CA,"01/20/2023,23:51:44"
119,sitka,57.0531,-135.33,5.99,90,100,7.49,US,"01/20/2023,23:55:28"
120,didao,45.3667,130.8,-26.27,91,62,0.09,CN,"01/20/2023,23:59:17"
121,east london,-33.0153,27.9116,23.29,87,16,4.22,ZA,"01/20/2023,23:59:18"
122,erzin,36.9559,36.2,10.66,60,0,3.1,TR,"01/20/2023,23:59:18"
123,sabha,27.0377,14.4283,6.91,21,0,1.38,LY,"01/20/2023,23:59:19"
124,amos,48.5669,-78.1162,-9.68,98,95,1.79,CA,"01/20/2023,23:59:19"
125,darhan,49.4867,105.9228,-20.49,99,100,0.83,MN,"01/20/2023,23:59:20"
126,omsukchan,62.5333,155.8,-33.02,96,100,2.86,RU,"01/20/2023,23:59:20"
127,ribeira grande,38.5167,-28.7,15.99,86,42,8.05,PT,"01/20/2023,23:59:21"
128,smithers,54.7804,-127.1743,3.18,87,100,1.03,CA,"01/20/2023,23:59:21"
129,cabedelo,-6.9811,-34.8339,26.37,76,17,4.81,BR,"01/20/2023,23:59:22"
130,griffith,41.5284,-87.4237,0.17,78,100,3.09,US,"01/20/2023,23:59:22"
131,nouadhibou,20.931,-17.0347,17.99,82,0,4.63,MR,"01/20/2023,23:59:23"
132,stettler,52.3168,-112.7186,-3.14,68,100,5.14,CA,"01/20/2023,23:59:23"
133,los llanos de aridane,28.6585,-17.9182,16.86,71,75,4.63,ES,"01/20/2023,23:59:24"
134,mahebourg,-20.4081,57.7,24.16,94,75,2.06,MU,"01/20/2023,23:59:24"
135,leshukonskoye,64.8989,45.7622,-2.71,99,100,1.2,RU,"01/21/2023,00:00:25"
136,honningsvag,70.9821,25.9704,2.86,75,75,11.83,NO,"01/21/2023,00:00:25"
137,danielskuil,-28.1887,23.5395,21.83,48,76,2.15,ZA,"01/21/2023,00:00:32"
138,prince rupert,54.3161,-130.3201,9.05,76,100,10.29,CA,"01/21/2023,00:00:03"
139,castro,-24.7911,-50.0119,17.1,93,5,1.55,BR,"01/21/2023,00:00:33"
140,carnarvon,-24.8667,113.6333,24.51,77,1,7.01,AU,"01/21/2023,00:00:34"
141,bismarck,46.8083,-100.7837,-6.52,100,100,5.66,US,"01/20/2023,23:59:01"
142,xiamen,24.4798,118.0819,12.36,65,74,4.94,CN,"01/21/2023,00:00:34"
143,coquimbo,-29.9533,-71.3436,17.74,78,4,3.97,CL,"01/21/2023,00:00:35"
144,upernavik,72.7868,-56.1549,-30.41,96,97,0.82,GL,"01/21/2023,00:00:35"
145,arlit,18.7369,7.3853,19.09,10,0,4.24,NE,"01/21/2023,00:00:36"
146,clyde river,70.4692,-68.5914,-35.46,99,89,1.14,CA,"01/21/2023,00:00:36"
147,tuatapere,-46.1333,167.6833,14.03,54,86,3.41,NZ,"01/20/2023,23:51:48"
148,tomatlan,19.9333,-105.25,24.81,62,28,3.52,MX,"01/21/2023,00:00:37"
149,yatou,37.15,122.3833,-3.43,46,0,1.64,CN,"01/21/2023,00:00:37"
150,arraial do cabo,-22.9661,-42.0278,21.96,92,100,3.9,BR,"01/21/2023,00:00:38"
151,ixtapa,20.7,-105.2,24.57,75,49,2.24,MX,"01/21/2023,00:00:39"
152,kralendijk,12.15,-68.2667,26.03,79,9,9.06,BQ,"01/21/2023,00:00:40"
153,ivanivka,46.7208,34.553,3.28,77,100,7.67,UA,"01/21/2023,00:00:41"
154,dvurechensk,56.5982,61.0953,-3.79,67,9,3.68,RU,"01/21/2023,00:00:41"
155,jamestown,42.097,-79.2353,1.77,75,100,6.17,US,"01/20/2023,23:46:49"
156,baruun-urt,46.6806,113.2792,-22.56,86,97,1.37,MN,"01/21/2023,00:00:42"
157,komsomolskiy,40.4272,71.7189,-7.6,79,50,2.06,UZ,"01/21/2023,00:00:43"
158,salinopolis,-0.6136,-47.3561,25.36,85,75,4.2,BR,"01/21/2023,00:00:44"
159,college,64.8569,-147.8028,-15.23,83,99,0.6,US,"01/21/2023,00:00:44"
160,fortuna,40.5982,-124.1573,11.66,64,0,3.09,US,"01/21/2023,00:00:45"
161,svetlogorsk,52.6333,29.7333,2.54,91,100,3.96,BY,"01/21/2023,00:00:45"
162,noumea,-22.2763,166.4572,28.99,99,100,4.85,NC,"01/21/2023,00:00:08"
163,vostok,46.4856,135.8833,-29.77,93,78,1.83,RU,"01/21/2023,00:00:46"
164,pilar,-9.5972,-35.9567,23.49,83,95,2.4,BR,"01/21/2023,00:00:46"
165,spornoye,50.8448,37.2913,-1.12,62,100,6.87,RU,"01/21/2023,00:00:47"
166,villa del rosario,7.8339,-72.4742,21.11,89,57,1.24,CO,"01/21/2023,00:00:48"
167,touba,8.2833,-7.6833,24.58,21,34,1.26,CI,"01/21/2023,00:00:48"
168,muros,42.7762,-9.0603,13.38,94,95,4.52,ES,"01/21/2023,00:00:50"
169,iqaluit,63.7506,-68.5145,-24.06,83,91,1.31,CA,"01/21/2023,00:00:51"
170,saraland,30.8207,-88.0706,15.4,58,100,2.5,US,"01/21/2023,00:00:51"
